"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"TSPAN6",1,17,43,1,162,0,0,0,171,101,62,0,16,54,76,44,1,50,1,31,11,0,0,0,0,20,183,99,44,17,19,14,31,41,5,2,111,20,0,140,0
"TNMD",0,0,23,2,13,0,0,0,1,0,21,22,2,7,8,2,6,24,8,0,6,0,0,0,0,4,8,3,6,0,4,0,26,0,0,0,1,10,0,0,0
"DPM1",2,7,10,2,150,2,0,2,161,29,38,3,11,82,14,120,2,50,0,26,13,6,1,2,54,10,103,65,15,9,4,14,21,34,8,1,79,12,0,78,0
"SCYL3",0,1,24,4,488,0,0,15,346,151,135,45,4,163,21,436,1,312,12,102,25,5,0,0,62,5,285,178,77,65,56,1,48,25,3,13,108,58,1,231,4
"C1orf112",0,1,46,9,385,5,0,1,330,112,149,39,10,120,37,286,16,217,3,72,49,9,4,5,55,16,158,109,88,51,44,2,23,99,1,3,88,45,3,95,0
"FGR",0,0,20,2,18,0,0,0,48,16,85,0,9,55,2,39,0,36,0,22,8,23,5,0,13,14,65,68,12,0,47,0,1,42,0,0,21,47,1,31,0
"CFH",0,0,32,4,5066,0,0,2,720,23,256,1,10,153,23,34,1,107,0,668,9,38,0,5,134,12,2500,383,61,548,43,46,42,54,0,108,1421,46,3,2418,6
"FUCA2",1,2,8,0,302,0,4,3,544,91,63,52,0,101,49,189,26,119,6,4,5,40,0,10,64,12,262,395,29,34,21,23,38,115,5,24,243,21,0,224,17
"GCLC",1,11,28,2,125,4,2,15,344,175,125,57,12,146,20,88,20,76,10,33,64,19,7,9,31,27,483,558,57,208,37,7,80,113,11,34,350,39,0,387,6
"NFYA",2,4,13,0,253,2,0,1,318,164,56,26,3,171,53,138,0,117,0,68,33,23,2,1,30,33,432,369,11,42,20,47,80,72,0,37,390,34,0,409,1
"STPG1",0,1,48,5,148,0,0,1,95,24,120,2,12,70,45,62,0,63,4,6,40,2,12,17,1,20,172,74,22,18,47,26,20,87,0,15,91,47,2,110,2
"NIPAL3",0,8,75,2,114,28,0,50,509,79,148,6,7,1499,160,171,0,260,18,99,59,49,0,9,30,73,536,193,109,60,58,77,49,163,9,22,465,62,1,422,0
"LAS1L",0,2,109,1,344,1,0,51,369,422,173,74,0,355,225,551,92,648,4,77,55,47,1,39,463,22,432,477,28,61,45,36,57,63,4,56,422,46,1,347,2
"ENPP4",0,1,20,0,18,0,0,2,57,2,20,2,1,48,0,59,7,56,1,38,26,1,0,0,10,14,267,2,14,17,14,14,2,65,1,0,190,17,0,237,0
"SEMA3F",1,13,12,4,65,1,1,9,256,15,38,15,4,96,49,53,46,96,7,39,10,0,6,7,125,20,67,135,24,12,18,23,153,47,3,19,27,18,0,28,0
"CFTR",2,0,50,3,9,0,0,0,0,4,94,0,5,4,0,165,0,7,0,0,20,0,1,0,8,27,57,1,58,6,44,0,4,88,0,0,3,50,0,2,0
"ANKIB1",0,4,61,8,1558,4,0,7,2137,212,179,169,4,494,202,685,39,467,9,130,37,84,47,20,151,31,918,449,99,151,30,88,88,110,8,30,949,30,0,810,4
"CYP51A1",0,3,1,1,32,0,0,1,28,7,14,0,0,2,23,12,0,44,0,2,6,0,14,0,10,3,23,35,15,20,1,12,31,25,1,8,45,1,0,14,0
"KRIT1",2,4,61,3,1008,1,0,1,1075,263,144,176,15,249,67,478,26,309,21,59,43,100,80,28,101,27,598,321,49,88,32,110,78,28,0,35,533,32,2,506,2
"RAD52",1,1,15,0,426,0,0,1,179,195,82,92,6,200,62,186,4,249,1,71,6,40,0,0,54,3,164,252,19,23,11,25,37,27,16,30,171,21,3,135,0
"BAD",0,2,14,1,177,5,0,3,132,96,78,36,6,233,122,223,0,272,0,10,11,82,1,4,62,13,270,226,10,36,8,86,55,92,3,15,314,9,0,245,2
"LAP3",1,7,51,7,196,2,0,10,557,52,115,24,8,377,63,100,39,230,5,39,24,7,5,20,65,35,187,847,48,27,34,40,13,84,6,8,390,36,3,119,0
"CD99",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HS3ST1",0,17,38,6,42,3,0,0,136,22,73,10,11,65,22,7,0,141,7,2,54,2,8,14,2,46,71,6,62,7,74,0,12,112,6,0,9,82,0,10,0
"AOC1",0,0,19,0,4,0,0,2,12,0,38,0,0,2,0,18,0,9,0,0,11,0,0,0,0,4,28,19,11,5,32,0,22,74,0,18,2,32,4,8,0
"WNT16",0,0,11,6,5,0,0,0,27,3,13,60,7,6,0,8,0,5,9,0,25,0,0,0,0,5,6,0,20,0,9,0,0,1,8,0,0,9,1,0,0
"HECW1",2,0,46,1,132,4,0,35,167,3,110,0,10,1,61,26,0,3,27,0,65,0,8,46,2,31,87,5,42,5,40,0,59,71,0,1,2,45,0,3,19
"MAD1L1",0,11,42,5,572,5,0,21,417,116,167,144,18,241,172,191,62,332,6,22,16,7,16,14,42,21,217,321,24,57,28,13,170,109,4,12,210,37,0,180,0
"LASP1",0,38,56,16,1401,20,0,17,3133,346,357,212,11,3299,1057,898,167,923,6,439,70,193,29,57,672,90,1457,985,145,337,44,153,328,129,11,190,1719,82,1,1346,9
"SNX11",0,0,56,1,135,0,0,15,201,52,60,68,0,167,51,119,21,107,0,6,19,19,1,5,100,22,188,200,31,31,13,78,51,98,3,10,183,14,4,147,0
"TMEM176A",0,4,22,0,51,0,0,2,89,12,170,1,1,17,1,323,54,78,6,0,12,0,4,18,326,24,38,641,7,96,22,22,25,32,20,304,78,22,1,30,0
"M6PR",1,8,14,1,454,6,0,5,577,182,125,104,2,420,211,307,0,406,15,34,47,3,1,2,316,14,434,285,53,42,16,2,51,73,10,25,343,17,0,392,2
"KLHL13",0,0,20,0,143,0,0,1,7,520,150,60,0,107,5,283,0,60,0,13,8,0,0,0,12,6,104,67,25,1,11,15,1,33,0,0,56,11,1,79,0
"CYP26B1",0,5,9,0,237,0,0,4,240,6,73,42,0,111,82,173,22,267,0,25,19,0,3,21,264,15,17,19,12,11,24,0,261,25,20,142,17,24,0,6,14
"ICA1",0,1,48,2,90,0,0,3,54,9,73,11,10,43,1,20,0,21,0,0,20,40,7,0,4,22,237,150,14,29,10,18,16,109,0,0,79,10,0,199,0
"DBNDD1",0,0,5,0,7,0,0,1,99,11,7,12,1,1,0,38,0,18,8,0,16,4,1,0,3,0,90,5,7,4,4,0,3,32,21,8,51,4,0,78,28
